row,展示会名,会期(開始),開始曜日,会期(終了),終了曜日,利用施設,開催時間,最終日の終了時刻（●:30分前に終了 ▲:1時間前に終了 ■:2時間前に終了）,来場対象者,入場料について,内容,連絡先,TEL,URL
94,プラスチック高機能化展,2023/09/13,水,2023/09/15,金,南3,10:00-17:00,,商談/一般,無料 (要登録)事務局へお問合せください,プラスチック・フィルム・ゴム等の高機能化と循環利用の提案が集う専門展示会,エヌプラス事務局,03-3503-7621,https://www.n-plus.biz/
95,軽量化・高強度化展,2023/09/13,水,2023/09/15,金,南3,10:00-17:00,,商談/一般,無料 (要登録)事務局へお問合せください,軽量・高強度化を実現する材料、成形技術、新素材の提案が集う専門展示会,エヌプラス事務局,03-3503-7621,https://www.n-plus.biz/
96,マルチマテリアル化展,2023/09/13,水,2023/09/15,金,南3,10:00-17:00,,商談/一般,無料 (要登録)事務局へお問合せください,さまざまな材料の優れた特長を活かした適材適所の提案が集う専門展示会,エヌプラス事務局,03-3503-7621,https://www.n-plus.biz/
97,コーティング・表面処理展,2023/09/13,水,2023/09/15,金,南3,10:00-17:00,,商談/一般,無料 (要登録)事務局へお問合せください,機能性と意匠性を高めるためのコーティング技術の提案が集う専門展示会,エヌプラス事務局,03-3503-7621,https://www.n-plus.biz/
98,受託・付加製造・加工技術展,2023/09/13,水,2023/09/15,金,南3,10:00-17:00,,商談/一般,無料 (要登録)事務局へお問合せください,日本のものづくりを支える製造・加工技術の提案が集う専門展示会,エヌプラス事務局,03-3503-7621,https://www.n-plus.biz/
99,電磁波対策・放熱技術展,2023/09/13,水,2023/09/15,金,南3,10:00-17:00,,商談/一般,無料 (要登録)事務局へお問合せください,次世代のものづくりに不可欠な電磁波対策と熱対策の提案が集う専門展示会,エヌプラス事務局,03-3503-7621,https://www.n-plus.biz/
100,電動化・電池・給電技術展,2023/09/13,水,2023/09/15,金,南3,10:00-17:00,,商談/一般,無料 (要登録)事務局へお問合せください,あらゆる動力の電動化と電池・給電技術の高機能化を提案が集う専門展示会,エヌプラス事務局,03-3503-7621,https://www.n-plus.biz/
101,環境配慮型素材展,2023/09/13,水,2023/09/15,金,南3,10:00-17:00,,商談/一般,無料 (要登録)事務局へお問合せください,SDGs、カーボンニュートラルの実現に応える素材と技術が集う専門展示会,エヌプラス事務局,03-3503-7621,https://www.n-plus.biz/
102,セルロースナノファイバー展,2023/09/13,水,2023/09/15,金,南3,10:00-17:00,,商談/一般,無料 (要登録)事務局へお問合せください,植物由来の天然素材・技術と用途開発の提案が集う専門展示会,エヌプラス事務局,03-3503-7621,https://www.n-plus.biz/
103,製品の長寿命化・循環活用展,2023/09/13,水,2023/09/15,金,南3,10:00-17:00,,商談/一般,無料 (要登録)事務局へお問合せください,製品の省資源化、サーキュラーエコノミーの提案が集う専門展示会,エヌプラス事務局,03-3503-7621,https://www.n-plus.biz/
104,次世代製品開発DX展,2023/09/13,水,2023/09/15,金,南3,10:00-17:00,,商談/一般,無料 (要登録)事務局へお問合せください,デジタル技術が促進するものづくり開発環境の効率化,エヌプラス事務局,03-3503-7621,https://www.n-plus.biz/
105,フライングカーテクノロジー,2023/09/13,水,2023/09/15,金,南3,10:00-17:00,,商談/一般,無料 (要登録)事務局へお問合せください,大阪万博で注目集まる『空飛ぶクルマ』の技術開発と普及・活用を支援する専門展示会,エヌプラス事務局,03-3503-7621,https://www.n-plus.biz/
106,INCHEM TOKYO 2023,2023/09/20,水,2023/09/22,金,東1-3,10:00-17:00,,商談,無料 (要登録),1966年から続くプロセス産業およびプラント設備、エンジニアリングの総合展示会,INCHEM TOKYO 事務局,03-3434-1988,https://www.jma.or.jp/INCHEM/
107,FOOD展2023（ F-SYS / FSJ / FF / FD / SDJ ）,2023/09/20,水,2023/09/22,金,東4-6,10:00-17:00,,商談,無料 (要登録)ウェブをご参照ください,大量調理・衛生管理・工場設備・製造・物流を包括した、秋口唯一の“食”の複合展示会,FOOD展事務局,03-3503-7661,https://www.food-exhibition.info/
108,ダイエット&ビューティーフェア2023,2023/09/25,月,2023/09/27,水,西1・2,10:00-17:00,,商談,無料 (要登録)ウェブをご参照ください,最新の美容機器、美容・健康食品、化粧品等、関連商材やサービスの展示会とセミナー,ダイエット&ビューティー事務局,03-5296-1013,https://www.dietandbeauty.jp/
109,SCAJ ワールドスペシャルティコーヒーカンファレンスアンドエキシビション2023,2023/09/27,水,2023/09/29,金,西3・4,10:00-17:00,▲,商談/一般,2500ウェブをご参照ください,アジア最大規模の出展者・来場者数を誇るスペシャルティコーヒーイベントです。,SCAJ展示会事務局,03-3831-2698,https://scajconference.jp/
