row,展示会名,会期(開始),開始曜日,会期(終了),終了曜日,利用施設,開催時間,最終日の終了時刻（●:30分前に終了　▲:1時間前に終了　■:2時間前に終了）,来場対象者,入場料について,内容,連絡先,TEL,URL
93,住まい・建築・不動産の総合展［BREX］,2024/05/30,木,2024/05/31,金,西1・2,10:00-17:00,,商談/一般,無料 (要登録),住宅、建築、不動産に関連する製品・サービスが一堂に会する総合展示会,住まい・建築・不動産の総合展 BREX 実行委員会（株式会社イノベント内）,03-6812-9422,https://www.housing-biz.jp/
94,住宅ビジネスフェア 2024,2024/05/30,木,2024/05/31,金,西1・2,10:00-17:00,,商談,無料 (要登録),戸建住宅の「設計・施工」向けに特化した住宅業界の専門展示会！,住まい・建築・不動産の総合展 BREX 実行委員会（株式会社イノベント内）,03-6812-9422,https://www.housing-biz.jp/
95,非住宅 木造建築フェア 2024,2024/05/30,木,2024/05/31,金,西1・2,10:00-17:00,,商談,無料 (要登録),日本唯一※非住宅建築の「木造・木質化」に関する製品・技術が一堂に集結！※当社調べ,住まい・建築・不動産の総合展 BREX 実行委員会（株式会社イノベント内）,03-6812-9422,https://www.housing-biz.jp/
96,マンション総合EXPO 2024,2024/05/30,木,2024/05/31,金,西1・2,10:00-17:00,,商談,無料 (要登録),マンションに関わる全ての製品・サービスが集まる2日間！,住まい・建築・不動産の総合展 BREX 実行委員会（株式会社イノベント内）,03-6812-9422,https://www.housing-biz.jp/
97,マンション管理組合 サポート展,2024/05/30,木,2024/05/31,金,西1・2,10:00-17:00,,商談/一般,無料 (要登録),管理組合向けにマンション管理に必要なあらゆる製品・サービスが集まる専門商談展です,住まい・建築・不動産の総合展 BREX 実行委員会（株式会社イノベント内）,03-6812-9422,https://www.housing-biz.jp/
98,賃貸住宅 管理・仲介EXPO 2024,2024/05/30,木,2024/05/31,金,西1・2,10:00-17:00,,商談,無料 (要登録),賃貸住宅に関わるあらゆる製品・サービスが一堂に集まる専門展！,住まい・建築・不動産の総合展 BREX 実行委員会（株式会社イノベント内）,03-6812-9422,https://www.housing-biz.jp/
99,第4回 デジタル化・DX推進展（ODEX）,2024/05/30,木,2024/05/31,金,西1・2,10:00-17:00,,商談,無料 (要登録),デジタル化を推進したい自治体と、企業に向けたBtoB展示会です,デジタル化・DX推進展 実行委員会（株式会社イノベント内）,03-6812-9422,https://odex-telex.jp/
100,FOOMA JAPAN 2024,2024/06/04,火,2024/06/07,金,東1-8,10:00-17:00,,商談,￥1000 (事前登録者無料),世界最大級の食品製造総合展。食品製造に関わる全ての機器・設備・サービスが出展。,FOOMAJAPAN運営事務局,03-6809-3745,https://www.foomajapan.jp
101,DX 総合EXPO 2024【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),日本最大級！DX化を実現するための展示会,DX 総合EXPO実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/dx-tokyo
102,第6回 人事・労務 DX EXPO【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),日本最大級！人事・労務・採用業務のDX化を実現するための展示会,DX 総合EXPO実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/dx-tokyo-hr
103,第6回 経理・財務 DX EXPO【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),日本最大級！経理・財務・会計業務のDX化を促進する展示会,DX 総合EXPO実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/dx-tokyo-finance
104,第6回 法務 DX EXPO【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),日本最大級！法務・知財業務のDX化を実現するための展示会,DX 総合EXPO実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/dx-tokyo-legal
105,第6回 マーケティング DX EXPO【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),日本最大級！マーケティングのDX化を実現するための展示会,DX 総合EXPO実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/dx-tokyo-marketing
106,第6回 営業 DX EXPO【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),日本最大級！営業のDX化を実現するための展示会,DX 総合EXPO実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/dx-tokyo-sales
107,第6回 業務改革 DX EXPO【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),日本最大級！業務改革・業務効率化を実現するためのDX展示会,DX 総合EXPO実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/dx-tokyo-biz-transform
108,ビジネスイノベーションJapan 2024【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),VUCA・ニューノーマル時代の経営課題解決のための総合展,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/bij-tokyo
109,第6回  働き方改革Week 【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),企業・店舗の働き方改革を実現するための展示会,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/bij-tokyo-workstyle-reform
110,第4回 経営支援EXPO【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),日本初！経営層・経営企画・事業責任者向け  経営課題を解決するための総合展,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/bij-tokyo-executive-support
111,第3回 人材育成・採用支援EXPO【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),人材育成・採用支援に特化した展示会,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bizcrew.jp/expo-exhibit/talent
112,第3回 ウェルビーイングEXPO【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),健康経営・福利厚生・従業員満足度向上などのサービスが一堂に出展する展示会,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/bij-tokyo-well-being
113,第3回 SDGs・ESG支援EXPO【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),企業のSDGs推進・ESG投資・脱炭素経営を実現するための展示会,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/bij-tokyo-sdgs
114,第3回  AI World【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),企業・店舗のAI導入・活用を促進する展示会,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/bij-tokyo-ai
115,第2回  販促支援Week【夏】,2024/06/11,火,2024/06/13,木,西3・4、南1-4,10:00-17:00,,商談,無料 (要登録),ノベルティ・POP・什器など販促製品・サービスが一堂に出展,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/bij-tokyo-promotion
116,R&R建築再生展 2024,2024/06/12,水,2024/06/14,金,東1,10:00-17:00,●,商談/一般,￥1000 (事前登録者無料),我が国 唯一のリフォーム＆リニューアル・リノベーションの 総合展示会,建築再生展　事務局,03-3228-3401,https://rrshow.jp/2024
117,電子機器トータルソリューション展2024,2024/06/12,水,2024/06/14,金,東3-6,10:00-17:00,,商談,￥1000 (事前登録者無料),最先端の電子回路基板・実装・装置・プロセス・電子部品がが一堂に会する展示会,電子機器トータルソリューション展運営事務局,03-5657-0767,https://www.jpcashow.com/show2024/index.html
118,インテリア ライフスタイル2024,2024/06/12,水,2024/06/14,金,西1・2,6/12 10:00～18:00   6/13 10:00～18:00   6/14 10:00～16:30,,商談,無料 (要登録),インテリア・デザインのための国際見本市 / Exquisite designs gathered in Tokyo,インテリア ライフスタイル事務局,,https://interiorlifestyle-tokyo.jp.messefrankfurt.com/tokyo/ja.html
119,民間医局レジナビフェア2024東京 ～臨床・専門研修プログラム～,2024/06/16,日,2024/06/16,日,西1・2,11:00-17:00,,関係者のみ,無料 (要登録),医学生・研修医向け病院合同説明会,レジナビFair事務局,03-4565-6103,https://www.residentnavi.com/rnfair/275
120,キャリタス就活フォーラム,2024/06/22,土,2024/06/22,土,西4,11:00-17:00,,一般,無料,インターンシップ・キャリアの合同企業説明会,キャリタス就活フォーラム事務局,03-5804-5537,https://job.career-tasu.jp/
121,COMNEXT 第2回［次世代］通信技術＆ソリューション展,2024/06/26,水,2024/06/28,金,南1-4,10:00-18:00,▲,商談,無料 (要登録),6Gをはじめ、次世代の通信技術・ソリューションが集結する国際展示会,COMNEXT 事務局,,https://www.cbw-expo.jp/ja-jp.html
